query,label
want to smell rainy day smth,DESCRIPTION_BASED
need something ceo but also powdery,MIXED
something with incense and bergamot idk,NOTE_BASED
need a patchouli perfume tbh,NOTE_BASED
i wanna smell like mysterious,DESCRIPTION_BASED
looking for powdery fragrance,NOTE_BASED
something with apple and leather ...,NOTE_BASED
smth office scent and attractive,DESCRIPTION_BASED
bergamot perfume recs,NOTE_BASED
best perfume for rainy day ??,DESCRIPTION_BASED
need a scent for dark yk,DESCRIPTION_BASED
best perfume for bad boy pls,DESCRIPTION_BASED
something with cedar and patchouli idk,NOTE_BASED
sandalwood but not too strong,NOTE_BASED
patchouli but not too strong tbh,NOTE_BASED
need a lavender perfume tbh,NOTE_BASED
seductive vibe perfume,DESCRIPTION_BASED
sandalwood but not too strong ...,NOTE_BASED
want a feminine tobacco perfume,MIXED
rich and coconut fragrance fr,MIXED
want a clean marine perfume,MIXED
looking for a elegant perfume with rose ngl,MIXED
love lavender notes ngl,NOTE_BASED
looking for spicy fragrance but not,NOTE_BASED
i wanna smell like elegant yk,DESCRIPTION_BASED
something with oud and mint,NOTE_BASED
want a mysterious fresh perfume ngl,MIXED
perfume that feels masculine,DESCRIPTION_BASED
need something classy but also coconut,MIXED
looking for a seductive perfume with mint,MIXED
need a scent for cozy,DESCRIPTION_BASED
coconut perfume recs yk,NOTE_BASED
best perfume for masculine,DESCRIPTION_BASED
want a seductive apple perfume,MIXED
looking for a luxury perfume with tobacco idk,MIXED
smth elegant and attractive,DESCRIPTION_BASED
want a vampire coffee perfume,MIXED
need a coffee perfume,NOTE_BASED
looking for lavender fragrance kinda,NOTE_BASED
need a scent for warm hug,DESCRIPTION_BASED
need something elegant but also lavender,MIXED
love rose notes,NOTE_BASED
best rose scent for winter,NOTE_BASED
perfume that feels feminine tbh,DESCRIPTION_BASED
dark and mint fragrance,MIXED
need a coffee perfume not too,NOTE_BASED
need a jasmine perfume,NOTE_BASED
woody but not too strong yk,NOTE_BASED
elegant and amber fragrance,MIXED
i wanna smell like clean ngl,DESCRIPTION_BASED
looking for a office scent perfume with apple ??,MIXED
love patchouli notes but not,NOTE_BASED
want a date night rose perfume but not,MIXED
want a office scent spicy perfume,MIXED
need a iris perfume,NOTE_BASED
something with powdery and leather idk,NOTE_BASED
soft girl scent with cedar notes,MIXED
best tobacco scent for winter,NOTE_BASED
want a CEO smoky perfume,MIXED
luxury perfume ideas ??,DESCRIPTION_BASED
love oud notes lol,NOTE_BASED
love fresh notes,NOTE_BASED
looking for iris fragrance,NOTE_BASED
want to smell clean,DESCRIPTION_BASED
looking for a vampire perfume with pear,MIXED
perfume that feels mysterious lol,DESCRIPTION_BASED
attention grabbing and rose fragrance,MIXED
want a cozy oud perfume lol,MIXED
need something expensive but also mint,MIXED
rich scent with tobacco notes,MIXED
smth attention grabbing and attractive pls,DESCRIPTION_BASED
looking for a luxury perfume with fresh,MIXED
looking for amber fragrance pls,NOTE_BASED
want a expensive sandalwood perfume ngl,MIXED
something expensive and attractive,DESCRIPTION_BASED
warm hug scent with jasmine notes idk,MIXED
need a coffee perfume,NOTE_BASED
need a scent for CEO but not,DESCRIPTION_BASED
looking for mint fragrance,NOTE_BASED
need smth warm hug but also coconut,MIXED
smth hot girl and attractive,DESCRIPTION_BASED
powdery but not too strong lol,NOTE_BASED
looking for patchouli fragrance,NOTE_BASED
want smth tobacco ...,NOTE_BASED
love oud notes,NOTE_BASED
perfume that feels hot girl,DESCRIPTION_BASED
sandalwood but not too strong,NOTE_BASED
need a apple perfume,NOTE_BASED
rich perfume ideas !!!,DESCRIPTION_BASED
best perfume for rainy day,DESCRIPTION_BASED
office scent vibe perfume,DESCRIPTION_BASED
perfume that feels masculine,DESCRIPTION_BASED
something with coconut and citrus tbh,NOTE_BASED
something with lavender and lavender,NOTE_BASED
need something gym but also marine tbh,MIXED
best iris scent for winter not too,NOTE_BASED
clean scent with coffee notes fr,MIXED
main character and sandalwood fragrance,MIXED
patchouli perfume recs,NOTE_BASED
looking for patchouli fragrance pls,NOTE_BASED
perfume that feels classy,DESCRIPTION_BASED
need something main character but also citrus,MIXED
clean and lavender fragrance,MIXED
vanilla perfume recs,NOTE_BASED
need something CEO but also powdery !!!,MIXED
i wanna smell like feminine tbh,DESCRIPTION_BASED
i wanna smell like summer vacation smth,DESCRIPTION_BASED
tobacco perfume recs,NOTE_BASED
i wanna smell like dark ??,DESCRIPTION_BASED
love rose notes,NOTE_BASED
looking for citrus fragrance ??,NOTE_BASED
need a sandalwood perfume,NOTE_BASED
rich and pear fragrance,MIXED
want a mysterious sandalwood perfume fr,MIXED
hot girl perfume ideas,DESCRIPTION_BASED
need something elegant but also cedar tbh,MIXED
looking for a summer vacation perfume with coffee ...,MIXED
want smth marine ngl,NOTE_BASED
i wanna smell like bad boy,DESCRIPTION_BASED
want a classy sandalwood perfume,MIXED
best perfume for gym,DESCRIPTION_BASED
mysterious and pear fragrance,MIXED
feminine perfume ideas tbh,DESCRIPTION_BASED
want a office scent marine perfume,MIXED
looking for a vampire perfume with bergamot,MIXED
need a iris perfume,NOTE_BASED
looking for a cozy perfume with coffee,MIXED
looking for coffee fragrance,NOTE_BASED
looking for coconut fragrance ??,NOTE_BASED
masculine perfume ideas tbh,DESCRIPTION_BASED
want smth oud,NOTE_BASED
best coconut scent for winter,NOTE_BASED
looking for a office scent perfume with coconut,MIXED
something with smoky and musk,NOTE_BASED
need a spicy perfume,NOTE_BASED
something feminine and attractive,DESCRIPTION_BASED
best perfume for clean pls,DESCRIPTION_BASED
best perfume for elegant,DESCRIPTION_BASED
need a scent for rainy day,DESCRIPTION_BASED
jasmine perfume recs,NOTE_BASED
need a scent for soft girl not too,DESCRIPTION_BASED
looking for a hot girl perfume with bergamot idk,MIXED
need a scent for expensive,DESCRIPTION_BASED
want to smell expensive,DESCRIPTION_BASED
want a soft girl pear perfume,MIXED
perfume that feels attention grabbing,DESCRIPTION_BASED
date night scent with amber notes,MIXED
something warm hug and attractive kinda,DESCRIPTION_BASED
love incense notes fr,NOTE_BASED
need a scent for office scent ngl,DESCRIPTION_BASED
something masculine and attractive,DESCRIPTION_BASED
looking for a cozy perfume with cedar,MIXED
best pear scent for winter,NOTE_BASED
love fresh notes idk,NOTE_BASED
coconut perfume recs,NOTE_BASED
mint but not too strong,NOTE_BASED
want smth powdery,NOTE_BASED
best tobacco scent for winter idk,NOTE_BASED
i wanna smell like summer vacation smth,DESCRIPTION_BASED
love bergamot notes,NOTE_BASED
need a cedar perfume kinda,NOTE_BASED
looking for a old money perfume with woody tbh,MIXED
i wanna smell like dark not too,DESCRIPTION_BASED
want a soft girl leather perfume,MIXED
spicy but not too strong,NOTE_BASED
want a soft girl cedar perfume smth,MIXED
warm hug vibe perfume kinda,DESCRIPTION_BASED
best perfume for dark,DESCRIPTION_BASED
i wanna smell like main character,DESCRIPTION_BASED
gym perfume ideas,DESCRIPTION_BASED
looking for a rainy day perfume with marine kinda,MIXED
want a warm hug smoky perfume,MIXED
dark perfume ideas lol,DESCRIPTION_BASED
lavender perfume recs yk,NOTE_BASED
need a marine perfume,NOTE_BASED
want to smell elegant smth,DESCRIPTION_BASED
something with jasmine and bergamot,NOTE_BASED
want to smell feminine,DESCRIPTION_BASED
cedar perfume recs,NOTE_BASED
gym perfume ideas not too,DESCRIPTION_BASED
want to smell seductive,DESCRIPTION_BASED
something main character and attractive not too,DESCRIPTION_BASED
need a iris perfume ...,NOTE_BASED
iris but not too strong ngl,NOTE_BASED
classy vibe perfume,DESCRIPTION_BASED
perfume that feels CEO,DESCRIPTION_BASED
smoky but not too strong but not,NOTE_BASED
want a main character vanilla perfume !!!,MIXED
need something seductive but also rose kinda,MIXED
looking for musk fragrance tbh,NOTE_BASED
looking for a feminine perfume with rose,MIXED
need a amber perfume,NOTE_BASED
mysterious vibe perfume,DESCRIPTION_BASED
want a date night pear perfume smth,MIXED
need a iris perfume smth,NOTE_BASED
want to smell classy not too,DESCRIPTION_BASED
perfume that feels attention grabbing,DESCRIPTION_BASED
mysterious vibe perfume,DESCRIPTION_BASED
looking for smoky fragrance,NOTE_BASED
mint but not too strong,NOTE_BASED
need something date night but also fresh,MIXED
want to smell elegant ngl,DESCRIPTION_BASED
need something date night but also pear,MIXED
want a seductive citrus perfume kinda,MIXED
want smth rose,NOTE_BASED
expensive and pear fragrance,MIXED
luxury and musk fragrance,MIXED
something with tobacco and apple,NOTE_BASED
want to smell expensive smth,DESCRIPTION_BASED
hot girl scent with fresh notes yk,MIXED
cozy and amber fragrance,MIXED
want to smell office scent,DESCRIPTION_BASED
expensive vibe perfume,DESCRIPTION_BASED
leather perfume recs,NOTE_BASED
need a iris perfume but not,NOTE_BASED
something cozy and attractive,DESCRIPTION_BASED
coconut perfume recs pls,NOTE_BASED
something with coffee and patchouli,NOTE_BASED
leather perfume recs,NOTE_BASED
want a bad boy oud perfume,MIXED
looking for powdery fragrance yk,NOTE_BASED
something clean and attractive but not,DESCRIPTION_BASED
want a rich rose perfume,MIXED
perfume that feels summer vacation !!!,DESCRIPTION_BASED
something luxury and attractive,DESCRIPTION_BASED
want a classy lavender perfume,MIXED
need a scent for main character,DESCRIPTION_BASED
want smth vanilla,NOTE_BASED
need something seductive but also coffee,MIXED
